epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.696,1.0297,5.28936,1.25947,0.00384,0.67486,0.00929,0.00734,0.8945,3.75832,1.17827,0.00333172,0.00333172,0.00333172
2,549.598,1.09023,4.67697,1.27924,0.44149,0.05773,0.01646,0.01334,0.95423,3.60571,1.23773,0.00653308,0.00653308,0.00653308
3,813.038,1.15823,4.43102,1.31184,0.2764,0.19747,0.02605,0.02119,0.97803,3.49934,1.26433,0.00960245,0.00960245,0.00960245
4,1074.29,1.16572,3.97279,1.31896,0.50534,0.08423,0.04154,0.03429,0.92468,3.28185,1.21037,0.009406,0.009406,0.009406
5,1340.81,1.10575,3.6057,1.28316,0.43838,0.11204,0.05809,0.04928,0.8313,3.0859,1.13669,0.009208,0.009208,0.009208
6,1595.25,1.04974,3.42649,1.24796,0.34932,0.19068,0.08258,0.07223,0.78897,2.91164,1.11216,0.00901,0.00901,0.00901
7,1851.07,1.0256,3.30822,1.23409,0.3258,0.19313,0.09604,0.08298,0.76252,2.79952,1.09628,0.008812,0.008812,0.008812
8,2107.09,0.99111,3.20691,1.21473,0.29021,0.27372,0.13321,0.11671,0.73402,2.70786,1.082,0.008614,0.008614,0.008614
9,2369.35,0.97771,3.1355,1.20679,0.27926,0.2741,0.14909,0.13407,0.70444,2.62291,1.0572,0.008416,0.008416,0.008416
10,2626.6,0.94922,3.06775,1.1912,0.30688,0.31384,0.17983,0.16263,0.6849,2.55887,1.04707,0.008218,0.008218,0.008218
11,2880.84,0.94008,3.01901,1.18702,0.31263,0.31558,0.1967,0.17849,0.67033,2.4782,1.03207,0.00802,0.00802,0.00802
12,3135.31,0.92269,2.95541,1.17601,0.30909,0.33487,0.21615,0.19793,0.65503,2.41137,1.03087,0.007822,0.007822,0.007822
13,3392.25,0.91046,2.91458,1.17121,0.27715,0.35043,0.22783,0.20888,0.64478,2.36397,1.02246,0.007624,0.007624,0.007624
14,3654,0.90227,2.87997,1.16642,0.3189,0.3461,0.24787,0.22895,0.63321,2.30775,1.01558,0.007426,0.007426,0.007426
15,3919.06,0.89425,2.83654,1.16148,0.29416,0.379,0.26868,0.24753,0.62636,2.26322,1.00843,0.007228,0.007228,0.007228
16,4182.41,0.88128,2.79327,1.15474,0.30098,0.38488,0.28059,0.25939,0.61855,2.22023,1.00506,0.00703,0.00703,0.00703
17,4447.47,0.87674,2.7575,1.14893,0.30939,0.40181,0.29998,0.27767,0.6113,2.17378,0.99953,0.006832,0.006832,0.006832
18,4713.14,0.86983,2.72556,1.14624,0.32723,0.41978,0.31512,0.29269,0.60196,2.13765,0.99429,0.006634,0.006634,0.006634
19,4971.32,0.8598,2.69182,1.14189,0.32234,0.42146,0.32833,0.3063,0.59708,2.10516,0.99171,0.006436,0.006436,0.006436
20,5241.23,0.85018,2.65715,1.13761,0.35054,0.42377,0.34132,0.31793,0.59144,2.07891,0.98685,0.006238,0.006238,0.006238
21,5502.72,0.84503,2.62602,1.13289,0.3688,0.42245,0.35381,0.32931,0.58614,2.05095,0.98338,0.00604,0.00604,0.00604
22,5763.59,0.84448,2.60003,1.13197,0.36919,0.43257,0.36292,0.33825,0.58393,2.0245,0.98228,0.005842,0.005842,0.005842
23,6021.91,0.8251,2.55533,1.12053,0.3668,0.44326,0.37321,0.3484,0.58041,2.00152,0.978,0.005644,0.005644,0.005644
24,6283.07,0.82377,2.54542,1.11711,0.37133,0.44357,0.38414,0.35943,0.57743,1.98045,0.97569,0.005446,0.005446,0.005446
