epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.714,0.96308,6.01048,1.22889,0.00607,0.65316,0.01189,0.01019,0.90954,3.75186,1.19639,0.00333172,0.00333172,0.00333172
2,490.323,1.02966,5.33534,1.2547,0.0718,0.29534,0.02126,0.01802,0.96607,3.62876,1.22149,0.00653308,0.00653308,0.00653308
3,722.699,1.12047,4.70347,1.30859,0.25571,0.12751,0.02517,0.02122,1.04702,3.58708,1.29698,0.00960245,0.00960245,0.00960245
4,952.804,1.11804,3.80886,1.31078,0.44025,0.07431,0.04034,0.03418,0.98232,3.3683,1.2509,0.009406,0.009406,0.009406
5,1181.24,1.00659,3.41906,1.234,0.32618,0.12529,0.05993,0.05202,0.87047,3.13785,1.17019,0.009208,0.009208,0.009208
6,1410.02,0.92976,3.21438,1.18323,0.28329,0.18009,0.08948,0.07922,0.84037,3.02097,1.14955,0.00901,0.00901,0.00901
7,1639.19,0.86662,3.04899,1.14318,0.22878,0.20708,0.11134,0.09958,0.79564,2.90816,1.12458,0.008812,0.008812,0.008812
8,1868.11,0.82245,2.91679,1.11331,0.26159,0.26263,0.14896,0.13527,0.76433,2.77751,1.10447,0.008614,0.008614,0.008614
9,2096.57,0.78285,2.79496,1.08806,0.24772,0.28424,0.17821,0.16157,0.74704,2.68664,1.09671,0.008416,0.008416,0.008416
10,2325.33,0.74673,2.68377,1.06365,0.25172,0.30124,0.20309,0.18632,0.72847,2.6089,1.0844,0.008218,0.008218,0.008218
11,2553.03,0.71599,2.57278,1.04162,0.29047,0.32088,0.22602,0.20837,0.71361,2.57047,1.07087,0.00802,0.00802,0.00802
12,2781.46,0.68286,2.47037,1.02178,0.30239,0.3315,0.25296,0.23316,0.71057,2.49709,1.07672,0.007822,0.007822,0.007822
13,3007.66,0.66232,2.38222,1.00885,0.29947,0.34512,0.2637,0.24354,0.69994,2.46721,1.07119,0.007624,0.007624,0.007624
14,3233.53,0.63895,2.28476,0.99233,0.32785,0.35067,0.28776,0.26655,0.68784,2.4348,1.06185,0.007426,0.007426,0.007426
15,3457.56,0.61917,2.19944,0.98033,0.36007,0.34194,0.30353,0.28111,0.68763,2.40689,1.06586,0.007228,0.007228,0.007228
16,3682.06,0.59704,2.10762,0.96654,0.35526,0.36128,0.31186,0.28858,0.68882,2.39977,1.06548,0.00703,0.00703,0.00703
17,3907.07,0.57888,2.02626,0.95403,0.37734,0.3549,0.32658,0.30312,0.68601,2.36531,1.06844,0.006832,0.006832,0.006832
18,4130.77,0.56144,1.94772,0.94406,0.36905,0.36209,0.33638,0.31199,0.68493,2.36605,1.06929,0.006634,0.006634,0.006634
19,4355.16,0.54748,1.86374,0.93506,0.36283,0.38118,0.33964,0.31556,0.68151,2.364,1.06953,0.006436,0.006436,0.006436
20,4579.63,0.52917,1.78611,0.9257,0.38141,0.37376,0.34836,0.32387,0.68378,2.36096,1.07297,0.006238,0.006238,0.006238
21,4804.88,0.51597,1.71974,0.91791,0.35882,0.37958,0.35174,0.32745,0.68242,2.36287,1.07264,0.00604,0.00604,0.00604
22,5029.87,0.50182,1.65476,0.90892,0.36537,0.38678,0.35716,0.33235,0.68094,2.37096,1.07344,0.005842,0.005842,0.005842
23,5255.48,0.48771,1.58668,0.90157,0.36928,0.38828,0.36011,0.33519,0.68252,2.38111,1.07695,0.005644,0.005644,0.005644
24,5481.59,0.47639,1.52961,0.89634,0.39179,0.38,0.36068,0.33546,0.68301,2.38454,1.07867,0.005446,0.005446,0.005446
25,5706.39,0.46548,1.47578,0.88961,0.37035,0.39702,0.36195,0.33656,0.68545,2.39649,1.08321,0.005248,0.005248,0.005248
26,5930.76,0.45319,1.4241,0.8844,0.37004,0.39054,0.36306,0.3375,0.6862,2.40598,1.08495,0.00505,0.00505,0.00505
27,6155.65,0.44099,1.37678,0.87828,0.38429,0.3896,0.3646,0.33898,0.68618,2.41247,1.08561,0.004852,0.004852,0.004852
28,6380.63,0.4293,1.3286,0.8726,0.38816,0.38566,0.36474,0.33955,0.68603,2.42266,1.08656,0.004654,0.004654,0.004654
29,6604.78,0.41845,1.28839,0.86777,0.38195,0.39407,0.36507,0.33973,0.68662,2.4322,1.08819,0.004456,0.004456,0.004456
30,6829.7,0.40651,1.25001,0.86181,0.36891,0.39739,0.36436,0.33898,0.6865,2.44336,1.08832,0.004258,0.004258,0.004258
31,7053.11,0.39382,1.20931,0.85682,0.36414,0.39588,0.36504,0.33992,0.68665,2.45148,1.08946,0.00406,0.00406,0.00406
32,7277.72,0.38684,1.18075,0.85392,0.36765,0.39201,0.36467,0.33965,0.68682,2.45979,1.0903,0.003862,0.003862,0.003862
33,7502.12,0.37403,1.14461,0.8476,0.379,0.38847,0.36428,0.33931,0.68669,2.46733,1.09107,0.003664,0.003664,0.003664
34,7726.22,0.36293,1.11481,0.84381,0.36147,0.39556,0.36351,0.3389,0.68668,2.47474,1.09178,0.003466,0.003466,0.003466
35,7950.94,0.35237,1.08564,0.83983,0.36646,0.39219,0.36328,0.33856,0.68716,2.48134,1.09283,0.003268,0.003268,0.003268
36,8175.85,0.3395,1.05598,0.83523,0.36509,0.39495,0.36333,0.33852,0.68713,2.48769,1.0937,0.00307,0.00307,0.00307
37,8399.23,0.33234,1.03196,0.83234,0.37143,0.39107,0.36298,0.3382,0.6868,2.49395,1.09415,0.002872,0.002872,0.002872
38,8623.33,0.31962,1.00415,0.8278,0.36981,0.39083,0.36314,0.33851,0.68706,2.50022,1.09502,0.002674,0.002674,0.002674
39,8847.37,0.30896,0.98046,0.82432,0.37851,0.38722,0.36274,0.33807,0.68706,2.50637,1.09528,0.002476,0.002476,0.002476
40,9071.19,0.3,0.96192,0.8222,0.38057,0.38666,0.36302,0.33849,0.68721,2.5132,1.09595,0.002278,0.002278,0.002278
41,9299.56,0.28828,0.93787,0.81815,0.37475,0.38981,0.36211,0.33773,0.6868,2.51862,1.09606,0.00208,0.00208,0.00208
