image_path,label,category,split,xmin,ymin,xmax,ymax,width,height
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1025794.jpg,707-320,Commercial,train,3,144,998,431,1024,695
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1340192.jpg,707-320,Commercial,train,83,155,964,462,1024,699
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0056978.jpg,707-320,Commercial,train,1,129,891,436,913,687
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0698580.jpg,707-320,Commercial,train,8,164,996,435,1000,678
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0450014.jpg,707-320,Commercial,train,29,396,1268,634,1280,911
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1042824.jpg,707-320,Commercial,train,54,167,930,427,1024,702
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0894380.jpg,707-320,Commercial,train,1,179,984,428,1000,679
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/1427680.jpg,707-320,Commercial,train,44,165,1009,442,1024,718
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0817494.jpg,707-320,Commercial,train,3,60,1003,606,1005,682
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0716386.jpg,707-320,Commercial,train,5,136,995,422,1000,678
/Users/marwahfaraj/.cache/kagglehub/datasets/seryouxblaster764/fgvc-aircraft/versions/2/fgvc-aircraft-2013b/fgvc-aircraft-2013b/data/images/0951982.jpg,707-320,Commercial,train,48,197,979,452,1024,695
