epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.275,0.95826,4.84116,1.22024,0.03379,0.46809,0.02123,0.0173,0.78635,3.42374,1.11931,0.00333172,0.00333172,0.00333172
2,552.22,0.96818,3.60622,1.1967,0.35463,0.14953,0.0443,0.03711,0.82353,3.22451,1.1435,0.00653308,0.00653308,0.00653308
3,814.905,1.08084,3.48309,1.26212,0.4601,0.11684,0.05601,0.04324,0.96857,3.18395,1.2366,0.00960245,0.00960245,0.00960245
4,1070.07,1.11455,3.44374,1.28642,0.37538,0.17782,0.07806,0.06539,0.85342,2.93764,1.1682,0.009406,0.009406,0.009406
5,1327.57,1.04353,3.25264,1.24394,0.31258,0.23702,0.10691,0.09151,0.78472,2.77558,1.10796,0.009208,0.009208,0.009208
6,1583.66,0.98014,3.08837,1.20726,0.2914,0.27389,0.13367,0.11696,0.73925,2.62066,1.08621,0.00901,0.00901,0.00901
7,1841.8,0.94818,2.97606,1.19083,0.25649,0.31274,0.17606,0.15583,0.70989,2.49706,1.06729,0.008812,0.008812,0.008812
8,2102.57,0.91571,2.86985,1.1738,0.29199,0.3394,0.21116,0.18883,0.67091,2.39865,1.04342,0.008614,0.008614,0.008614
9,2359.53,0.89815,2.79228,1.16274,0.29895,0.36123,0.22887,0.20745,0.64835,2.30625,1.02348,0.008416,0.008416,0.008416
10,2615.63,0.87022,2.71515,1.14653,0.33131,0.37871,0.27509,0.25075,0.62244,2.22093,1.01453,0.008218,0.008218,0.008218
11,2874.27,0.85844,2.65532,1.14073,0.37107,0.39096,0.30039,0.27448,0.60246,2.15159,0.99656,0.00802,0.00802,0.00802
12,3134.94,0.84088,2.58865,1.12967,0.36459,0.41501,0.31852,0.29295,0.58821,2.07277,0.98965,0.007822,0.007822,0.007822
13,3389.97,0.82608,2.53661,1.12352,0.32348,0.44498,0.35038,0.32507,0.57198,2.00583,0.98113,0.007624,0.007624,0.007624
14,3644.25,0.81689,2.49021,1.11909,0.38262,0.45027,0.37518,0.34642,0.5675,1.94623,0.97696,0.007426,0.007426,0.007426
15,3900.27,0.80654,2.43475,1.11392,0.35924,0.47432,0.40256,0.37281,0.55867,1.88152,0.97195,0.007228,0.007228,0.007228
16,4154.08,0.79203,2.37826,1.10488,0.42539,0.48077,0.4257,0.39633,0.54971,1.83583,0.96717,0.00703,0.00703,0.00703
17,4409.39,0.78842,2.34123,1.10238,0.41749,0.5133,0.44874,0.41903,0.5409,1.7804,0.9649,0.006832,0.006832,0.006832
18,4663.09,0.77713,2.2942,1.0946,0.43256,0.52192,0.46657,0.4359,0.53283,1.74289,0.96042,0.006634,0.006634,0.006634
19,4916.1,0.76688,2.25374,1.09133,0.43639,0.52973,0.48518,0.45326,0.52931,1.70625,0.95788,0.006436,0.006436,0.006436
20,5169.58,0.75688,2.20634,1.08664,0.45159,0.54826,0.50505,0.4741,0.52317,1.66497,0.95121,0.006238,0.006238,0.006238
21,5423.45,0.74606,2.1611,1.07894,0.46498,0.56048,0.52358,0.49061,0.51657,1.63558,0.9486,0.00604,0.00604,0.00604
22,5677.57,0.74939,2.13253,1.07938,0.477,0.56857,0.53574,0.50289,0.51193,1.60473,0.94451,0.005842,0.005842,0.005842
23,5932.22,0.72744,2.08579,1.06565,0.51753,0.55616,0.54724,0.51425,0.50829,1.57936,0.94179,0.005644,0.005644,0.005644
24,6193.64,0.7242,2.05602,1.06451,0.50375,0.57566,0.557,0.52294,0.50474,1.55664,0.93982,0.005446,0.005446,0.005446
25,6451.37,0.71658,2.03324,1.06171,0.50682,0.58157,0.56535,0.53101,0.50298,1.53401,0.94045,0.005248,0.005248,0.005248
26,6712.41,0.7075,1.98551,1.05626,0.51591,0.59137,0.57394,0.54008,0.49995,1.5155,0.93937,0.00505,0.00505,0.00505
27,6973.56,0.70475,1.96233,1.05453,0.53218,0.59248,0.58227,0.5476,0.49872,1.49966,0.93888,0.004852,0.004852,0.004852
28,7237.25,0.69651,1.92437,1.0507,0.54361,0.58994,0.58758,0.55359,0.49702,1.48371,0.93713,0.004654,0.004654,0.004654
29,7509.07,0.69533,1.90412,1.04847,0.56198,0.58907,0.59203,0.55812,0.49561,1.47084,0.93572,0.004456,0.004456,0.004456
30,7766.97,0.68176,1.86315,1.0441,0.57235,0.59324,0.59667,0.56285,0.4932,1.45977,0.93409,0.004258,0.004258,0.004258
31,8026.23,0.67866,1.83701,1.03988,0.57909,0.59435,0.60071,0.56679,0.49111,1.4482,0.93325,0.00406,0.00406,0.00406
32,8279.52,0.67176,1.80868,1.03611,0.58569,0.59816,0.6045,0.57058,0.48957,1.43881,0.93222,0.003862,0.003862,0.003862
33,8532.54,0.66562,1.77617,1.03516,0.59009,0.59903,0.60788,0.57405,0.48788,1.43007,0.93107,0.003664,0.003664,0.003664
34,8785.64,0.65776,1.75544,1.02954,0.58949,0.60143,0.61116,0.5769,0.48699,1.42229,0.93052,0.003466,0.003466,0.003466
35,9039.9,0.65162,1.72748,1.02547,0.59316,0.60262,0.61452,0.57996,0.48619,1.41516,0.92997,0.003268,0.003268,0.003268
36,9293.63,0.64874,1.69818,1.02325,0.59513,0.60624,0.6172,0.58254,0.48547,1.40826,0.92965,0.00307,0.00307,0.00307
37,9545.87,0.63614,1.66006,1.01937,0.60203,0.60571,0.62025,0.5857,0.48452,1.40084,0.92901,0.002872,0.002872,0.002872
38,9797.67,0.63418,1.63777,1.019,0.60472,0.60917,0.62325,0.58866,0.48337,1.39405,0.9283,0.002674,0.002674,0.002674
39,10049.3,0.62179,1.60478,1.01,0.60446,0.61731,0.62608,0.59177,0.48254,1.38836,0.92773,0.002476,0.002476,0.002476
40,10301.2,0.61969,1.58921,1.00959,0.60181,0.61947,0.62906,0.59457,0.48164,1.38256,0.92702,0.002278,0.002278,0.002278
41,10553.4,0.51471,1.32598,0.94595,0.60711,0.62133,0.63159,0.59702,0.48033,1.37586,0.92597,0.00208,0.00208,0.00208
42,10802.3,0.50129,1.28007,0.93956,0.61236,0.62063,0.63483,0.60024,0.47886,1.36953,0.92487,0.001882,0.001882,0.001882
43,11051.1,0.49096,1.24762,0.93196,0.61335,0.62445,0.63859,0.60374,0.47742,1.36284,0.92402,0.001684,0.001684,0.001684
44,11302.4,0.47937,1.20743,0.92636,0.61968,0.62264,0.64222,0.60749,0.4761,1.35675,0.92322,0.001486,0.001486,0.001486
45,11556.2,0.4706,1.17479,0.92072,0.61951,0.6285,0.64509,0.61087,0.47491,1.35081,0.92253,0.001288,0.001288,0.001288
46,11805.6,0.46289,1.14909,0.91564,0.62891,0.62795,0.64823,0.61406,0.47364,1.34445,0.9219,0.00109,0.00109,0.00109
47,12055.9,0.45182,1.11233,0.91013,0.63356,0.62891,0.65099,0.61749,0.47284,1.33867,0.92127,0.000892,0.000892,0.000892
48,12305.6,0.4461,1.09129,0.90708,0.63904,0.62575,0.65392,0.62002,0.4718,1.33298,0.92059,0.000694,0.000694,0.000694
49,12556.7,0.43631,1.06363,0.90319,0.63679,0.62831,0.65618,0.62219,0.47086,1.328,0.91995,0.000496,0.000496,0.000496
50,12806.5,0.43268,1.04148,0.9011,0.63915,0.62936,0.65849,0.62461,0.4701,1.32315,0.91941,0.000298,0.000298,0.000298
