epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.297,0.87795,5.57029,1.17569,0.00643,0.74733,0.01775,0.01481,0.82151,3.50675,1.12684,0.00333172,0.00333172,0.00333172
2,507.096,0.90129,3.6797,1.16002,0.40301,0.06385,0.03637,0.03047,0.87837,3.3228,1.1651,0.00653308,0.00653308,0.00653308
3,745.95,1.02425,3.49758,1.2409,0.44913,0.05826,0.03666,0.03071,1.03115,3.45396,1.27594,0.00960245,0.00960245,0.00960245
4,984.206,1.05858,3.39992,1.2691,0.38324,0.13639,0.06827,0.05923,0.89749,3.12797,1.18761,0.009406,0.009406,0.009406
5,1222.11,0.9246,3.10384,1.18014,0.31718,0.22514,0.10846,0.09639,0.80033,2.85785,1.12392,0.009208,0.009208,0.009208
6,1459.61,0.83287,2.88891,1.12224,0.28187,0.25998,0.13163,0.11884,0.76379,2.73899,1.09925,0.00901,0.00901,0.00901
7,1697.83,0.76539,2.71469,1.07948,0.26819,0.27524,0.17129,0.15401,0.74359,2.64754,1.09395,0.008812,0.008812,0.008812
8,1934.8,0.71771,2.56671,1.05003,0.31899,0.316,0.21009,0.19183,0.70632,2.51214,1.07239,0.008614,0.008614,0.008614
9,2170.62,0.67718,2.43264,1.02376,0.29901,0.35478,0.25748,0.23693,0.67686,2.38795,1.05177,0.008416,0.008416,0.008416
10,2408.07,0.63235,2.29662,0.9954,0.31025,0.35435,0.28256,0.2622,0.66308,2.32697,1.04406,0.008218,0.008218,0.008218
11,2643.73,0.59881,2.1749,0.9745,0.31644,0.36421,0.30184,0.27929,0.65846,2.31574,1.04676,0.00802,0.00802,0.00802
12,2878.77,0.565,2.05442,0.95361,0.34513,0.37433,0.31663,0.2944,0.64626,2.29444,1.04909,0.007822,0.007822,0.007822
13,3114.7,0.53921,1.9413,0.93891,0.36128,0.39273,0.34695,0.32303,0.63434,2.21946,1.03999,0.007624,0.007624,0.007624
14,3350.83,0.51456,1.83676,0.92371,0.35053,0.38407,0.34967,0.32617,0.63223,2.28611,1.03681,0.007426,0.007426,0.007426
15,3585.92,0.49386,1.73581,0.91189,0.36218,0.39461,0.36041,0.33712,0.62781,2.26626,1.03649,0.007228,0.007228,0.007228
16,3820.87,0.47401,1.64924,0.89994,0.40483,0.39665,0.38324,0.35878,0.62526,2.20201,1.03547,0.00703,0.00703,0.00703
17,4055.97,0.45837,1.56232,0.8924,0.42589,0.39121,0.39268,0.36799,0.61886,2.21984,1.03557,0.006832,0.006832,0.006832
18,4291.51,0.44068,1.49555,0.88137,0.40688,0.40345,0.39103,0.36651,0.61822,2.26135,1.03737,0.006634,0.006634,0.006634
19,4527.39,0.42391,1.41843,0.87331,0.41576,0.40968,0.40594,0.38041,0.61444,2.22537,1.03982,0.006436,0.006436,0.006436
20,4763.69,0.41198,1.35756,0.8669,0.42584,0.41622,0.41336,0.38827,0.61066,2.21052,1.03785,0.006238,0.006238,0.006238
21,4998.77,0.39866,1.30378,0.86029,0.43306,0.41726,0.41711,0.39188,0.60964,2.19861,1.03981,0.00604,0.00604,0.00604
22,5233.29,0.38715,1.25403,0.85517,0.42956,0.42425,0.41756,0.39231,0.60846,2.2392,1.03954,0.005842,0.005842,0.005842
23,5467.8,0.37265,1.20628,0.8485,0.44277,0.42125,0.4228,0.39707,0.60616,2.23955,1.03986,0.005644,0.005644,0.005644
24,5705.01,0.36515,1.17293,0.84557,0.44855,0.42604,0.43236,0.40611,0.60477,2.20913,1.04057,0.005446,0.005446,0.005446
25,5939.93,0.35391,1.13517,0.84052,0.44401,0.44044,0.43745,0.41086,0.60317,2.19629,1.04164,0.005248,0.005248,0.005248
26,6176.02,0.34378,1.10272,0.83583,0.45233,0.42475,0.43467,0.40832,0.60136,2.22437,1.04101,0.00505,0.00505,0.00505
27,6410.93,0.33195,1.06954,0.83121,0.46261,0.42273,0.43398,0.40764,0.60009,2.23852,1.04173,0.004852,0.004852,0.004852
28,6648.92,0.32223,1.04064,0.82745,0.46585,0.41735,0.43512,0.40887,0.59862,2.24432,1.04169,0.004654,0.004654,0.004654
29,6884.53,0.31262,1.01468,0.82409,0.47956,0.41141,0.43794,0.41182,0.59829,2.24067,1.04313,0.004456,0.004456,0.004456
30,7121.21,0.30352,0.99126,0.82072,0.47033,0.42464,0.44144,0.41508,0.59665,2.22764,1.04318,0.004258,0.004258,0.004258
31,7356.67,0.29328,0.96865,0.81703,0.47139,0.42745,0.44287,0.4166,0.59619,2.22254,1.04355,0.00406,0.00406,0.00406
32,7592.96,0.286,0.94913,0.81456,0.47268,0.42645,0.44376,0.41776,0.59516,2.22586,1.0432,0.003862,0.003862,0.003862
33,7827.59,0.274,0.92364,0.8109,0.48366,0.42065,0.44441,0.4185,0.59423,2.22844,1.04308,0.003664,0.003664,0.003664
34,8062.99,0.26654,0.90799,0.80876,0.48843,0.41879,0.44353,0.41789,0.59362,2.23889,1.04319,0.003466,0.003466,0.003466
35,8297.47,0.25736,0.88791,0.80582,0.47806,0.42593,0.44311,0.41739,0.59304,2.24578,1.04332,0.003268,0.003268,0.003268
36,8532.07,0.24438,0.87178,0.80203,0.47107,0.42847,0.44219,0.4166,0.59273,2.25651,1.0439,0.00307,0.00307,0.00307
37,8765.92,0.23911,0.85623,0.80076,0.47142,0.42904,0.44212,0.41664,0.59262,2.26173,1.04468,0.002872,0.002872,0.002872
38,9001.81,0.22905,0.83733,0.79801,0.46767,0.42848,0.44158,0.41611,0.59279,2.26962,1.04599,0.002674,0.002674,0.002674
39,9237.8,0.21798,0.82155,0.79545,0.46598,0.42792,0.44061,0.41534,0.59295,2.27947,1.04694,0.002476,0.002476,0.002476
40,9474.11,0.21214,0.81059,0.79491,0.4673,0.42558,0.44057,0.41538,0.59248,2.28482,1.04735,0.002278,0.002278,0.002278
